year,Category,Crime Head,Cases Pending Investigation from Previous Year,Cases Reported during the year,Cases Reopened for Investigation,Total Cases for Investigation,Cases Not Investigated under 157_1_b CRPC,Cases Transferred to other State or Agency,Cases Withdrawn by the Govt during Investigation,Final Report - Cases Ended as FR Non Cognizable,Final Report - Cases Ended as Final Report False,Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute,Final Report - Cases True but Insufficient Evidence or Untraced or No Clue,Final Report - Cases Abated during Investigation,Final Report - Total,Chargesheets Submitted - Cases Chargesheeted Out of Cases from Previous Year,Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year,Chargesheets Submitted - Cases Chargesheeted,Total Cases Disposed Off by Police,Cases Quashed at Investigation Stage,Cases Stayed at Investigation Stage,Cases Pending Investigation at End of the Year,Chargesheeting Rate *100,Pendency Percentage *100
2018,Offences under I.T. Act,Tampering Computer Source Documents,163,257,0,420,0,0,0,0,4,17,126,0,147,52,70,122,269,1,0,150,45.4,35.7
2018,Offences under I.T. Act,Ransomware,255,1218,0,1473,0,0,0,0,27,5,270,0,302,89,100,189,491,0,0,982,38.5,66.7
2018,Offences under I.T. Act,Offences Other Than Ransom-Ware,2979,2751,0,5730,0,4,0,1,46,155,1372,6,1580,572,596,1168,2752,4,0,2974,42.4,51.9
2018,Offences under I.T. Act,Dishonestly Receiving Stolen Computer Resource Or Communication Device,272,391,0,663,0,3,0,0,6,9,171,0,186,37,57,94,283,0,0,380,33.2,57.3
2018,Offences under I.T. Act,Identity Theft,3435,6688,1,10124,0,4,0,0,34,105,867,4,1010,188,273,461,1475,0,1,8649,31.3,85.4
2018,Offences under I.T. Act,Cheating By Personation By Using Computer Resource,2482,2704,0,5186,0,20,0,2,47,131,1589,36,1805,262,434,696,2521,1,1,2664,27.6,51.4
2018,Offences under I.T. Act,Violation Of Privacy,273,389,0,662,0,3,0,0,14,8,116,0,138,53,69,122,263,0,1,399,46.4,60.3
2018,Offences under I.T. Act,Cyber Terrorism,19,21,0,40,0,0,0,0,0,0,10,0,10,3,2,5,15,0,0,25,33.3,62.5
2018,Offences under I.T. Act,Publishing Or Transmitting Obscene Material In Electronic Form,751,1334,0,2085,0,2,0,1,43,31,388,0,463,164,352,516,981,1,0,1103,52.6,52.9
2018,Offences under I.T. Act,Publishing Or Transmitting Of Material Containing Sexually Explicit Act In Electronic Form,563,1097,2,1662,0,2,0,1,33,38,163,1,236,76,364,440,678,2,0,982,64.9,59.1
